ID_DISCENTE;ANO_NASCIMENTO;PERIODO_INGRESSO;PERIODO_LETIVO;CAMPUS;CD_INEP;CURSO;CARGA_HORARIA_CURSO;TURNO;MODALIDADE;COTAS;SEXO;NACIONALIDADE;CIDADE_NAT;UF_NAT;LAT;LON
304487;1998;20171;20201;REITOR JOAQUIM AMAZONAS;13616;CIENCIAS SOCIAIS - LICENCIATURA;3660;INTEGRAL;PRESENCIAL;L2;F;BRA;AMARAJI;PE;;
304487;1998;20171;20202;REITOR JOAQUIM AMAZONAS;13616;ENGENHARIA ELETRICA;3660;INTEGRAL;PRESENCIAL;L2;F;BRA;AMARAJI;PE;;
304524;1987;20172;20201;REITOR JOAQUIM AMAZONAS;13600;FARMACIA;3465;INTEGRAL;PRESENCIAL;L5;F;BRA;SAO JOAO DE MERITI;RJ;;
304524;1987;20172;20202;REITOR JOAQUIM AMAZONAS;13600;FARMACIA;3465;INTEGRAL;PRESENCIAL;L5;F;BRA;SAO JOAO DE MERITI;RJ;;
304563;1998;20171;20201;AGRESTE;101086;CIENCIAS ECONOMICA - CAA;3000;NOITE;PRESENCIAL;L2;M;BRA;CARUARU;PE;;
304633;1999;20171;20201;REITOR JOAQUIM AMAZONAS;13573;CIENCIAS CONTABEIS;3000;TARDE;PRESENCIAL;L5;F;BRA;PAULISTA;PE;;
201093;1992;20171;20201;AGRESTE;118098;QUIMICA - LICENCIATURA - CAA;3210;NOITE;PRESENCIAL;AC;F;BRA;SURUBIM;PE;;
304688;1996;20171;20201;REITOR JOAQUIM AMAZONAS;13589;FISICA - BACHARELADO;2560;INTEGRAL;PRESENCIAL;L1;M;BRA;SERRA TALHADA;PE;;
289411;1997;20172;20201;REITOR JOAQUIM AMAZONAS;33784;PUBLICIDADE E PROPAGANDA;2820;MANHA;PRESENCIAL;L6;F;BRA;JABOATAO DOS GUARARAPES;PE;;
289411;1997;20172;20202;REITOR JOAQUIM AMAZONAS;33784;PUBLICIDADE E PROPAGANDA;2820;MANHA;PRESENCIAL;L6;F;BRA;JABOATAO DOS GUARARAPES;PE;;
